Country_Region,2023/01/01,2023/01/02,2023/01/03,2023/01/04
Afghanistan,207616,207627,207654,207715
Albania,333811,333812,333812,333818
Algeria,271229,271229,271230,271236
Andorra,47751,47751,47751,47751
Angola,105095,105095,105095,105095
Antarctica,11,11,11,11
Antigua and Barbuda,9106,9106,9106,9106
Argentina,9891139,9963697,9963697,9963697
Armenia,445976,445976,445976,445976
Australia,11132933,11132933,11135105,11136734
Austria,5707962,5709405,5712491,5716267
Azerbaijan,826427,826446,826462,826496
Bahamas,37491,37491,37491,37491
Bahrain,698774,698849,698889,698952
Bangladesh,2037125,2037156,2037187,2037208
Barbados,105515,105515,105515,105515
Belarus,994037,994037,994037,994037
Belgium,4668248,4668248,4668248,4668248
Belize,69946,69946,70174,70174
Benin,27982,27982,27982,27982
Bhutan,62524,62524,62531,62531
Bolivia,1163105,1163836,1165375,1167025
Bosnia and Herzegovina,400992,401001,401036,401058
Botswana,327860,327860,328071,328071
Brazil,36331281,36362366,36362366,36423138
Brunei,266819,266819,266819,266819
Bulgaria,1292150,1292224,1292525,1292778
Burkina Faso,22006,22006,22006,22006
Burma,633685,633686,633694,633696
Burundi,51722,51722,52051,52051
Cabo Verde,63200,63203,63203,63207
Cambodia,138591,138595,138600,138609
Cameroon,123993,123993,123993,123993
Canada,4505742,4506199,4507762,4508933
Central African Republic,15351,15351,15351,15351
Chad,7650,7651,7651,7651
Chile,5041878,5044258,5045602,5048085
China,4612203,4637347,4661332,4687167
Colombia,6336660,6336660,6336660,6336660
Comoros,8982,8982,8983,8983
Congo (Brazzaville),25375,25375,25375,25375
Congo (Kinshasa),95173,95173,95173,95173
Costa Rica,1161687,1161687,1166842,1166842
Cote d'Ivoire,87941,87941,87945,87949
Croatia,1264122,1264166,1264385,1264770
Cuba,1112018,1112038,1112048,1112067
Cyprus,631111,631111,631111,631111
Czechia,4579980,4580077,4580954,4581596
Denmark,3432465,3432465,3438226,3439086
Diamond Princess,712,712,712,712
Djibouti,15690,15690,15690,15690
Dominica,15760,15760,15760,15760
Dominican Republic,655540,655540,658863,658863
Ecuador,1040463,1040463,1040463,1040463
Egypt,515645,515645,515645,515645
El Salvador,201785,201785,201785,201785
Equatorial Guinea,17186,17186,17186,17186
Eritrea,10189,10189,10189,10189
Estonia,611891,611891,612451,612451
Eswatini,74034,74034,74034,74034
Ethiopia,498157,498228,498341,498452
Fiji,68750,68750,68750,68750
Finland,1438205,1438205,1438205,1438205
France,39498188,39537275,39560482,39574616
Gabon,48980,48980,48980,48980
Gambia,12586,12586,12586,12586
Georgia,1808820,1808820,1809359,1809359
Germany,37369867,37410650,37446795,37475448
Ghana,171048,171048,171065,171065
Greece,5548487,5548487,5548487,5548487
Grenada,19644,19644,19660,19660
Guatemala,1204300,1204428,1204860,1206255
Guinea,38210,38210,38210,38210
Guinea-Bissau,8947,8947,8947,8947
Guyana,72163,72163,72261,72261
Haiti,33904,33904,33904,33904
Holy See,29,29,29,29
Honduras,465915,465915,465915,467493
Hungary,2185816,2185816,2185816,2185816
Iceland,207974,207974,208298,208298
India,44680046,44680180,44680355,44680543
Indonesia,6720181,6720443,6721095,6721692
Iran,7561213,7561309,7561428,7561541
Iraq,2465107,2465390,2465545,2465545
Ireland,1687668,1687668,1687668,1693847
Israel,4764432,4765806,4766786,4767996
Italy,25143705,25143705,25143705,25143705
Jamaica,152758,152758,152791,152791
Japan,29321601,29397865,29489769,29594073
Jordan,1746997,1746997,1746997,1746997
Kazakhstan,1488306,1488306,1488306,1488306
Kenya,342507,342511,342512,342515
Kiribati,3430,3430,3430,3430
"Korea, North",1,1,1,1
"Korea, South",29139535,29220591,29299166,29363272
Kosovo,272286,272287,272288,272290
Kuwait,662747,662747,662747,662747
Kyrgyzstan,206557,206557,206567,206567
Laos,217797,217805,217825,217835
Latvia,973830,974046,974309,974309
Lebanon,1222515,1222912,1222945,1223174
Lesotho,34490,34490,34790,34790
Liberia,8043,8043,8043,8043
Libya,507142,507142,507153,507153
Liechtenstein,21276,21276,21296,21296
Lithuania,1288438,1288481,1289255,1289767
Luxembourg,311746,311746,313150,313150
MS Zaandam,9,9,9,9
Madagascar,67735,67735,67750,67750
Malawi,88220,88220,88220,88220
Malaysia,5027097,5027457,5027790,5028223
Maldives,185678,185678,185693,185693
Mali,32770,32770,32771,32771
Malta,116414,116436,116489,116522
Marshall Islands,15547,15554,15554,15554
Mauritania,63425,63425,63425,63425
Mauritius,289980,289980,291335,291335
Mexico,7234467,7234467,7252944,7257916
Micronesia,22203,22203,22203,22203
Moldova,596550,596550,596550,596914
Monaco,15948,15948,15968,15968
Mongolia,1007266,1007266,1007422,1007422
Montenegro,284756,284795,284835,284896
Morocco,1271610,1271616,1271671,1271718
Mozambique,230970,230970,230970,230970
Namibia,170295,170295,170295,170295
Nauru,4621,4621,4621,4621
Nepal,1001002,1001003,1001005,1001012
Netherlands,8681537,8681537,8681547,8681701
New Zealand,2101244,2101288,2124058,2124077
Nicaragua,15365,15365,15365,15365
Niger,9473,9473,9473,9473
Nigeria,266381,266450,266450,266450
North Macedonia,345603,345603,345603,345857
Norway,1475148,1475396,1475588,1475786
Oman,399154,399154,399154,399154
Pakistan,1575817,1575817,1575854,1575887
Palau,5971,5971,5971,5971
Panama,1023778,1023778,1025844,1025844
Papua New Guinea,46663,46663,46663,46663
Paraguay,792215,792215,792215,792215
Peru,4458643,4460100,4461129,4460100
Philippines,4064779,4065173,4065173,4065569
Poland,6368632,6368749,6369442,6370008
Portugal,5554058,5554058,5557941,5557941
Qatar,489576,489792,489994,490147
Romania,3308480,3312085,3312085,3312085
Russia,21495511,21499362,21502402,21505701
Rwanda,132920,132920,133033,133033
Saint Kitts and Nevis,6562,6562,6562,6562
Saint Lucia,29741,29741,29748,29748
Saint Vincent and the Grenadines,9538,9538,9538,9538
Samoa,15982,15982,15982,15982
San Marino,23008,23176,23176,23176
Sao Tome and Principe,6279,6279,6279,6279
Saudi Arabia,827032,827071,827100,827128
Senegal,88900,88900,88900,88900
Serbia,2446620,2447387,2448268,2449503
Seychelles,50355,50355,50355,50355
Sierra Leone,7760,7760,7760,7760
Singapore,2202756,2203146,2203702,2205237
Slovakia,2657365,2657398,2657650,2657865
Slovenia,1307768,1307964,1308470,1310419
Solomon Islands,24575,24575,24575,24575
Somalia,27300,27300,27310,27310
South Africa,4049319,4049366,4049454,4049479
South Sudan,18368,18368,18368,18368
Spain,13684258,13684258,13684258,13684258
Sri Lanka,671893,671898,671903,671903
Sudan,63686,63686,63686,63686
Summer Olympics 2020,865,865,865,865
Suriname,82020,82020,82020,82020
Sweden,2674862,2674862,2674862,2674862
Switzerland,4399516,4399516,4399516,4399516
Syria,57423,57423,57423,57423
Taiwan*,8872746,8889346,8914351,8948201
Tajikistan,17786,17786,17786,17786
Tanzania,42351,42351,42351,42351
Thailand,4723919,4723919,4723919,4723919
Timor-Leste,23386,23386,23397,23397
Togo,39343,39344,39344,39344
Tonga,16211,16211,16412,16412
Trinidad and Tobago,186033,186033,186279,186279
Tunisia,1147571,1147571,1147571,1147645
Turkey,17042722,17042722,17042722,17042722
Tuvalu,2805,2805,2805,2805
US,100769543,100777853,100890152,101088268
Uganda,169985,169985,169985,169985
Ukraine,5662774,5662807,5666050,5666079
United Arab Emirates,1047065,1047109,1047157,1047209
United Kingdom,24365688,24365688,24366197,24366259
Uruguay,1011988,1020161,1020161,1020161
Uzbekistan,249217,249217,249766,249766
Vanuatu,12013,12013,12013,12013
Venezuela,550613,550613,550624,550641
Vietnam,11525284,11525336,11525408,11525491
West Bank and Gaza,703228,703228,703228,703228
Winter Olympics 2022,535,535,535,535
Yemen,11945,11945,11945,11945
Zambia,334629,334661,334695,334886
Zimbabwe,259981,259981,259981,259981
