Country_Region,2023/01/01,2023/01/02
Afghanistan,207616,207627
Albania,333811,333812
Algeria,271229,271229
Andorra,47751,47751
Angola,105095,105095
Antarctica,11,11
Antigua and Barbuda,9106,9106
Argentina,9891139,9963697
Armenia,445976,445976
Australia,11132933,11132933
Austria,5707962,5709405
Azerbaijan,826427,826446
Bahamas,37491,37491
Bahrain,698774,698849
Bangladesh,2037125,2037156
Barbados,105515,105515
Belarus,994037,994037
Belgium,4668248,4668248
Belize,69946,69946
Benin,27982,27982
Bhutan,62524,62524
Bolivia,1163105,1163836
Bosnia and Herzegovina,400992,401001
Botswana,327860,327860
Brazil,36331281,36362366
Brunei,266819,266819
Bulgaria,1292150,1292224
Burkina Faso,22006,22006
Burma,633685,633686
Burundi,51722,51722
Cabo Verde,63200,63203
Cambodia,138591,138595
Cameroon,123993,123993
Canada,4505742,4506199
Central African Republic,15351,15351
Chad,7650,7651
Chile,5041878,5044258
China,4612203,4637347
Colombia,6336660,6336660
Comoros,8982,8982
Congo (Brazzaville),25375,25375
Congo (Kinshasa),95173,95173
Costa Rica,1161687,1161687
Cote d'Ivoire,87941,87941
Croatia,1264122,1264166
Cuba,1112018,1112038
Cyprus,631111,631111
Czechia,4579980,4580077
Denmark,3432465,3432465
Diamond Princess,712,712
Djibouti,15690,15690
Dominica,15760,15760
Dominican Republic,655540,655540
Ecuador,1040463,1040463
Egypt,515645,515645
El Salvador,201785,201785
Equatorial Guinea,17186,17186
Eritrea,10189,10189
Estonia,611891,611891
Eswatini,74034,74034
Ethiopia,498157,498228
Fiji,68750,68750
Finland,1438205,1438205
France,39498188,39537275
Gabon,48980,48980
Gambia,12586,12586
Georgia,1808820,1808820
Germany,37369867,37410650
Ghana,171048,171048
Greece,5548487,5548487
Grenada,19644,19644
Guatemala,1204300,1204428
Guinea,38210,38210
Guinea-Bissau,8947,8947
Guyana,72163,72163
Haiti,33904,33904
Holy See,29,29
Honduras,465915,465915
Hungary,2185816,2185816
Iceland,207974,207974
India,44680046,44680180
Indonesia,6720181,6720443
Iran,7561213,7561309
Iraq,2465107,2465390
Ireland,1687668,1687668
Israel,4764432,4765806
Italy,25143705,25143705
Jamaica,152758,152758
Japan,29321601,29397865
Jordan,1746997,1746997
Kazakhstan,1488306,1488306
Kenya,342507,342511
Kiribati,3430,3430
"Korea, North",1,1
"Korea, South",29139535,29220591
Kosovo,272286,272287
Kuwait,662747,662747
Kyrgyzstan,206557,206557
Laos,217797,217805
Latvia,973830,974046
Lebanon,1222515,1222912
Lesotho,34490,34490
Liberia,8043,8043
Libya,507142,507142
Liechtenstein,21276,21276
Lithuania,1288438,1288481
Luxembourg,311746,311746
MS Zaandam,9,9
Madagascar,67735,67735
Malawi,88220,88220
Malaysia,5027097,5027457
Maldives,185678,185678
Mali,32770,32770
Malta,116414,116436
Marshall Islands,15547,15554
Mauritania,63425,63425
Mauritius,289980,289980
Mexico,7234467,7234467
Micronesia,22203,22203
Moldova,596550,596550
Monaco,15948,15948
Mongolia,1007266,1007266
Montenegro,284756,284795
Morocco,1271610,1271616
Mozambique,230970,230970
Namibia,170295,170295
Nauru,4621,4621
Nepal,1001002,1001003
Netherlands,8681537,8681537
New Zealand,2101244,2101288
Nicaragua,15365,15365
Niger,9473,9473
Nigeria,266381,266450
North Macedonia,345603,345603
Norway,1475148,1475396
Oman,399154,399154
Pakistan,1575817,1575817
Palau,5971,5971
Panama,1023778,1023778
Papua New Guinea,46663,46663
Paraguay,792215,792215
Peru,4458643,4460100
Philippines,4064779,4065173
Poland,6368632,6368749
Portugal,5554058,5554058
Qatar,489576,489792
Romania,3308480,3312085
Russia,21495511,21499362
Rwanda,132920,132920
Saint Kitts and Nevis,6562,6562
Saint Lucia,29741,29741
Saint Vincent and the Grenadines,9538,9538
Samoa,15982,15982
San Marino,23008,23176
Sao Tome and Principe,6279,6279
Saudi Arabia,827032,827071
Senegal,88900,88900
Serbia,2446620,2447387
Seychelles,50355,50355
Sierra Leone,7760,7760
Singapore,2202756,2203146
Slovakia,2657365,2657398
Slovenia,1307768,1307964
Solomon Islands,24575,24575
Somalia,27300,27300
South Africa,4049319,4049366
South Sudan,18368,18368
Spain,13684258,13684258
Sri Lanka,671893,671898
Sudan,63686,63686
Summer Olympics 2020,865,865
Suriname,82020,82020
Sweden,2674862,2674862
Switzerland,4399516,4399516
Syria,57423,57423
Taiwan*,8872746,8889346
Tajikistan,17786,17786
Tanzania,42351,42351
Thailand,4723919,4723919
Timor-Leste,23386,23386
Togo,39343,39344
Tonga,16211,16211
Trinidad and Tobago,186033,186033
Tunisia,1147571,1147571
Turkey,17042722,17042722
Tuvalu,2805,2805
US,100769543,100777853
Uganda,169985,169985
Ukraine,5662774,5662807
United Arab Emirates,1047065,1047109
United Kingdom,24365688,24365688
Uruguay,1011988,1020161
Uzbekistan,249217,249217
Vanuatu,12013,12013
Venezuela,550613,550613
Vietnam,11525284,11525336
West Bank and Gaza,703228,703228
Winter Olympics 2022,535,535
Yemen,11945,11945
Zambia,334629,334661
Zimbabwe,259981,259981
